姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
陈淑平,通信,通信,55,1,1,1,1,李敖自传与回忆(1),打电话、电话、研究、演讲
陈蕴奇,政治人物,政治人物,55,1,1,1,1,李敖自传与回忆(1),院长、政府、党部
伏尔泰,神交引用,神交引用,54,1,1,1,1,李敖自传与回忆(1),思想
刘子健,学术,学术,54,1,1,1,1,李敖自传与回忆(1),见、一起、写信
姚渔湘,学术 / 见面,学术,54,1,1,1,1,李敖自传与回忆(1),法官、先生
姜穆,诉讼,诉讼,54,1,1,1,1,李敖自传与回忆(1),判决、保防、政战、书中、所谓
孙念台,师生,师生,54,1,1,1,1,李敖自传与回忆(1),碰到、妈妈、先生
希特勒,神交引用,神交引用,54,1,1,1,1,李敖自传与回忆(1),学生
张作相,政治人物,政治人物,54,1,1,1,1,李敖自传与回忆(1),爸爸、大学、委员
李伋,神交引用,神交引用,54,1,1,1,1,李敖自传与回忆(1),见、老师
李其泰,学术,学术,54,1,1,1,1,李敖自传与回忆(1),寄给、老师、读、先生
李朝宗,情治警务 / 诉讼,情治警务,54,1,1,1,1,李敖自传与回忆(1),判决、保防、政战、书中、所谓
李翰祥,媒体,媒体,54,1,1,1,1,李敖自传与回忆(1),见、请我
王惺三,司法人员,司法人员,54,1,1,1,1,李敖自传与回忆(1),同学、报纸、检察官、立委
王正廷,政治人物,政治人物,54,1,1,1,1,李敖自传与回忆(1),学生、大学、部长、国民党、像
王洪钧,出版,出版,54,1,1,1,1,李敖自传与回忆(1),老师、读、先生
王靖雯,媒体,媒体,54,1,1,1,1,李敖自传与回忆(1),女儿、夫人、小姐
端木恺,司法人员,司法人员,54,1,1,1,1,李敖自传与回忆(1),律师、控告
艾碧珈,师生,师生,54,1,1,1,1,李敖自传与回忆(1),老师、先生
芮逸夫,学术,学术,54,1,1,1,1,李敖自传与回忆(1),见、一起、写信、先生
刘半农,学术 / 神交引用,学术,53,1,1,1,1,李敖自传与回忆(1),市长、国民党
李宏基,学术,学术,53,1,1,1,1,李敖自传与回忆(1),晤、主席、文学、先生
西门庆,神交引用,神交引用,53,1,1,1,1,李敖自传与回忆(1),研究、政府、国民党、思想、像
赵伟民,政治人物,政治人物,53,1,1,1,1,李敖自传与回忆(1),院长
赵天仪,学术,学术,53,1,1,1,1,李敖自传与回忆(1),台大、批评、哲学、诗
黄凯,政治人物,政治人物,53,1,1,1,1,李敖自传与回忆(1),院长
司马迁,神交引用,神交引用,52,1,1,1,1,李敖自传与回忆(1),
墨子,神交引用,神交引用,52,1,1,1,1,李敖自传与回忆(1),
庄子,神交引用,神交引用,52,1,1,1,1,李敖自传与回忆(1),
白居易,神交引用,神交引用,52,1,1,1,1,李敖自传与回忆(1),
李玄伯,师生 / 学术,师生,51,1,1,1,1,李敖自传与回忆(1),书中、古代、先生
李盛渊,江湖人物,江湖人物,50,2,2,1,1,李敖自传与回忆(2),
庄申,通信 / 学术,通信,50,1,1,1,1,李敖自传与回忆(1),老师、爸爸、妈妈、儿子、太太、大学
钱宾四,学术 / 神交引用,学术,50,1,1,1,1,李敖自传与回忆(1),像、先生
勘勘,亲属 / 称谓待考,亲属,49,1,1,1,1,李敖自传与回忆(1),儿子、女儿、诗
李孟谦,亲属,亲属,49,1,1,1,1,李敖自传与回忆(1),爸爸、儿子、太太
谌谌,亲属 / 称谓待考,亲属,49,1,1,1,1,李敖自传与回忆(1),妈妈、女儿、诗
余光中,学术 / 出版 / 见面,学术,48,1,1,1,1,李敖自传与回忆(1),写信、老师
华昌平,同学同事 / 见面,同学同事,48,1,1,1,1,李敖自传与回忆(1),老师
周弘,同学同事 / 见面,同学同事,48,1,1,1,1,李敖自传与回忆(1),老师
张兰熙,出版 / 见面,出版,48,1,1,1,1,李敖自传与回忆(1),见、家里
张明,出版 / 见面,出版,48,1,1,1,1,李敖自传与回忆(1),见、家里
徐钟珮,出版 / 见面,出版,48,1,1,1,1,李敖自传与回忆(1),见、家里
景新汉,同学同事 / 见面,同学同事,48,1,1,1,1,李敖自传与回忆(1),老师
李华俊,同学同事 / 见面,同学同事,48,1,1,1,1,李敖自传与回忆(1),老师
李方桂,学术 / 见面,学术,48,1,1,1,1,李敖自传与回忆(1),请他、一起、老师、主编、文星、研究
潘琦君,出版 / 见面,出版,48,1,1,1,1,李敖自传与回忆(1),见、家里
白绍康,同学同事 / 见面,同学同事,48,1,1,1,1,李敖自传与回忆(1),老师
聂华苓,出版 / 媒体 / 见面,出版,48,1,1,1,1,李敖自传与回忆(1),见、家里
郑学稼,学术 / 出版 / 公共论战,学术,48,1,1,1,1,李敖自传与回忆(1),
陈又亮,同学同事 / 见面,同学同事,48,1,1,1,1,李敖自传与回忆(1),老师
魏以之,情治警务 / 公共论战,情治警务,48,1,1,1,1,李敖自传与回忆(1),警总、保安处
史为鉴,学术 / 出版 / 见面,学术,47,1,1,1,1,李敖自传与回忆(1),台大
李耀祖,同学同事 / 见面,同学同事,47,1,1,1,1,李敖自传与回忆(1),大学
杨世彭,同学同事 / 见面,同学同事,47,1,1,1,1,李敖自传与回忆(1),大学
杨祖燕,同学同事 / 见面,同学同事,47,1,1,1,1,李敖自传与回忆(1),大学
林淑美,同学同事 / 见面,同学同事,47,1,1,1,1,李敖自传与回忆(1),大学
王尚义,同学同事 / 见面,同学同事,47,1,1,1,1,李敖自传与回忆(1),大学
王文振,同学同事,同学同事,47,1,1,1,1,李敖自传与回忆(1),同学
胡汝森,出版 / 公共论战,出版,47,1,1,1,1,李敖自传与回忆(1),朋友、文星
袁天中,同学同事 / 见面,同学同事,47,1,1,1,1,李敖自传与回忆(1),大学
邬昆如,感化人员,感化人员,47,1,1,1,1,李敖自传与回忆(1),少将、读
陈启天,公共论战 / 政治人物,公共论战,47,1,1,1,1,李敖自传与回忆(1),朋友、文星
陈正澄,同学同事 / 学术 / 出版,同学同事,47,1,1,1,1,李敖自传与回忆(1),报纸、台大、哲学
陈良榘,同学同事 / 见面,同学同事,47,1,1,1,1,李敖自传与回忆(1),大学
曾虚白,媒体 / 公共论战 / 感化人员,媒体,46,1,1,1,1,李敖自传与回忆(1),国民党
魏萼,感化人员,感化人员,44,1,1,1,1,李敖自传与回忆(1),读
佟耀勋,同学同事 / 见面,同学同事,42,1,1,1,1,李敖自传与回忆(1),
张克斌,同学同事 / 见面,同学同事,42,1,1,1,1,李敖自传与回忆(1),
朱广诚,同学同事 / 见面,同学同事,42,1,1,1,1,李敖自传与回忆(1),
祝庭生,同学同事 / 见面,同学同事,42,1,1,1,1,李敖自传与回忆(1),
袁祝泰,同学同事 / 见面,同学同事,42,1,1,1,1,李敖自传与回忆(1),
阙至正,同学同事 / 见面,同学同事,42,1,1,1,1,李敖自传与回忆(1),
黄锡昌,同学同事 / 见面,同学同事,42,1,1,1,1,李敖自传与回忆(1),
